NAME,COUNTRY,PROVIDER,ADDRESSS
South (Takanini) Auckland Data Center,new-zealand,Spark Nz,"Auckland, New Zealand"
Vocus Group Auckland 1,new-zealand,Vocus Communications,"7A Parkhead Place, Rosedale, Auckland, New Zealand"
Albany (North Auckland) Data Center,new-zealand,Spark Nz,"Albany, Auckland, New Zealand"
Hamilton Data Center,new-zealand,Spark Nz,"Hamilton, New Zealand"
Vocus Group Queen,new-zealand,Vocus Communications,"191 Queen Street, Auckland Central, Auckland, New Zealand"
Auckland Data Center,new-zealand,IPTP Networks,"220 Queen Street, Auckland Central, Auckland 1010, New Zealand"
"Main Road, Tawa",new-zealand,Plan B,"Main Road Tawa opposite Sunrise Boulevard, Tawa, Wellington, Nueva Zelanda"
Wellington Central Data Center,new-zealand,Spark Nz,"level 6 60/70 Featherston Street, Pipitea, Wellington 6011, Nueva Zelanda"
Wellington Data Center,new-zealand,CenterServ,"Plimmer Tower, Wellington, New Zealand"
Auckland 02 Data Center,new-zealand,DCI Data Centers,"Knights Road, Rosedale, Auckland 0632, New Zealand"
Upper Hutt Data Center,new-zealand,Spark Nz,"Wellington, New Zealand"
Vocus Group Auckland 2,new-zealand,Vocus Communications,"46C Northcote Road, Northcote, Auckland, New Zealand"
Piermark Drive Data Centre (Voyager Auckland data centre,new-zealand,Voyager Internet Ltd,"11D Piermark Drive, Rosedale, Auckland, New Zealand"
